cellid,cycle_number,y100,Cp,x100,Cn,Qcomp,x0,y0,Qfull,pos_excess,neg_excess,RMSE_mV,np_ratio,n_li,LLI,LAM_PE,LAM_NE,C20_loss,Cn_pf,x100_pf
1,3,0.0360096133230749,2.71116974364493,0.899944001348737,2.81319997038228,0,0.0112762826226191,0.958120818591604,2.5,0.12,0.39,39.2495312128072,1.03763328614024,0.0981050132499627,1,0,0,1,2.87274809612188,0.884967697387644
1,56,0.0329133051309237,2.63184183673216,0.860774085470259,2.80605109150511,0,0.00547960873545228,0.944822207293515,2.4,0.15,0.5,13.7845282777889,1.06619290427774,0.0933533215712971,0.951565251140033,0.0292596607419076,0.00254119115328777,0.96,2.8389094066482,0.855696194344483
1,159,0.0312735270801511,2.58968551520236,0.827873832288021,2.79586026727087,0,0.00165228357848179,0.923273728046444,2.31,0.2,0.59,21.3874551649086,1.07961381830272,0.0893837317173234,0.911102590543276,0.0448087873241213,0.00616369376296266,0.924,2.82518782188366,0.826120566690983
1,262,0.0298241341740664,2.53868112134364,0.820340069734438,2.72862288407118,0,-0.000586857572519195,0.912172051432158,2.24,0.23,0.600000000000001,53.9631715760982,1.0748190708674,0.0863430124080407,0.880108055110766,0.0636214765621406,0.0300643705394346,0.896,2.74936288421053,0.804261843557294
1,365,0.0253274542895193,2.29269673367643,0.909979074347281,2.08149359944704,0,-0.00763124187343733,0.858407543751348,1.91,0.33,0.27,171.381965901697,0.907880038765217,0.0728389039351557,0.742458530121888,0.154351460637764,0.260097532574554,0.764,2.79103263961219,0.740102800623999
1,468,0.0235,2.07204602038272,0.8,1.25628651716475,0,-0.00395672977484529,0.510940911092046,1.01,1.03,0.3,124.213860589953,0.606302420316275,0.0393159585713722,0.400753817454758,0.235737258709213,0.55343149068993,0.404,0.883054142382272,1.15743969731004
2,3,0.0354908710310934,2.74201743896643,0.897522927006049,2.84349294267212,0,0.011288970809949,0.954522225167878,2.52,0.13,0.399999999999999,35.4393455197066,1.03700760697712,0.0988537089291616,1,0,0,1,2.90616854764543,0.880179557726858
2,56,0.0329328735790694,2.6579559833228,0.855806735183926,2.83988551591939,0,0.00365970797654902,0.943406942820306,2.42,0.15,0.52,10.0973428162254,1.06844715779272,0.0939476416871985,0.950370428230682,0.030656791036064,0.00126866035029849,0.96031746031746,2.74159455900277,0.866270888528181
2,159,0.031537304403764,2.61780321549505,0.823334711421953,2.82939505686452,0,-0.000162874872007834,0.92159656715067,2.33,0.21,0.61,24.7871306489889,1.08082801645175,0.0899989783931855,0.910425914900963,0.0453003039682371,0.00495794647351666,0.924603174603175,2.85443517396122,0.820045751325512
2,262,0.0300348238367695,2.56111109181677,0.817006471903918,2.75529003726374,0,0.000395527295538267,0.908559776225275,2.25,0.24,0.609999999999999,57.6854375115824,1.07581824391273,0.0868616295423072,0.878688624668115,0.0659756369813074,0.0310192102412922,0.892857142857143,2.80527332132964,0.790971612348923
2,365,0.0244331981747445,2.30497760374569,0.887217468444014,2.02144411735021,0,-0.00818200585489381,0.809690285731115,1.81,0.44,0.31,173.34200614349,0.876990784667617,0.0690180092772742,0.698183305663648,0.159386234751841,0.289098247083883,0.718253968253968,1.68893082188366,1.08496084705192
2,468,0.0235,2.16208779713295,0.8,1.316386473636,0,-0.00523464896457393,0.513766862153155,1.06,1.05,0.32,97.1687396910577,0.608849684726774,0.0411888446049555,0.416664635562348,0.211497430173922,0.537053018883544,0.420634920634921,1.18602523213296,0.926436560181015
3,3,0.0367328267526474,2.73296003656518,0.906253923477754,2.80223103360084,0,0.0105390556088196,0.955150939867322,2.51,0.13,0.369999999999999,30.1601777946079,1.02534650931915,0.0984994556506501,1,0,0,1,2.8823398365651,0.886221461817973
3,56,0.0329178483971863,2.64909235645396,0.861786383483598,2.80045639153032,0,0.00478321526482528,0.938888527053557,2.4,0.17,0.5,7.5158325659648,1.05713807399262,0.0933010455804035,0.947223971585346,0.0306874886530061,0.000633296130559069,0.956175298804781,2.78225190581717,0.864256125630784
3,159,0.0311469235808082,2.60587687888967,0.82927715972682,2.77973576929306,0,0.0018603867344239,0.913767287816897,2.3,0.23,0.59,31.6890419717781,1.0667179987711,0.0890377898492968,0.903941948319886,0.0465001887972094,0.00802762657255518,0.916334661354582,2.79052511385042,0.826254287532743
3,262,0.029709144503715,2.55763219342152,0.820183548769338,2.70658449295157,0,-3.83972963675649e-05,0.89769946997352,2.22,0.27,0.59,60.5737773252761,1.05823835808494,0.0856627672697441,0.869677570336692,0.0641530943730909,0.0341322822787945,0.884462151394422,2.6569912432133,0.819842230093359
3,365,0.026436269178316,2.4093972576117,0.896139940321835,2.31496642286254,0,-0.00668092971723888,0.893873132650013,2.09,0.26,0.33,135.856420399203,0.96080727889482,0.0797805425440939,0.809959222790562,0.118392795585893,0.173884524471977,0.832669322709163,3.14711234404432,0.720362365954925
3,468,0.0235,2.29711400413602,0.902486473263223,2.09084973619216,0,-0.00623497482145108,0.850624816869773,1.9,0.35,0.29,195.705471699802,0.910207213236924,0.0724195970471241,0.735228398662182,0.159477645702031,0.253862472036989,0.756972111553785,2.41062372880886,0.837432671590701
4,3,0.0349659645707776,2.71373881622715,0.889152317405883,2.84272728163766,0,0.00971515994497463,0.956204215301071,2.5,0.12,0.429999999999999,32.1365824329919,1.04753164329566,0.0978496322110685,1,0,0,1,2.91814181218837,0.871461322013416
4,56,0.0326389171987944,2.62606747109444,0.845784453030422,2.83853656865216,0,0.00380128945438984,0.942745007886535,2.39,0.15,0.55,9.81606255475196,1.08090770701682,0.0927751210275021,0.948139700999383,0.0323064786516939,0.00147418748628181,0.956,2.71524910277008,0.862630097867552
4,159,0.0313223130232741,2.58733932581617,0.813549978120502,2.82476391357435,0,0.00286275962572879,0.91640142775347,2.29,0.22,0.640000000000001,26.5514565849383,1.09176399299048,0.0887688351602912,0.907196411007561,0.046577618175765,0.00631906133920945,0.916,2.85442047036011,0.808739141814387
4,262,0.0295515256154312,2.51910119086519,0.819713991068716,2.69758843331754,0,0.000463740472813612,0.906848558388049,2.21,0.24,0.59,63.2603576675285,1.07085354216797,0.0852826797066784,0.871568730301588,0.0717230502059009,0.05105619848152,0.884,2.72154245955679,0.803244859548814
4,365,0.024603876174913,2.29098527590837,0.915532308441614,2.09013296392917,0,-0.00785392262947326,0.867036178248423,1.93,0.31,0.26,183.513633750256,0.912329287275949,0.073501839163256,0.751171338127336,0.155782692789327,0.264743762994714,0.772,1.94258485512465,1.01975516306801
4,468,0.0235,2.04698577030023,0.8,1.27323992048718,0,-0.00110589024707619,0.521793644635545,1.02,0.99,0.31,110.077170869447,0.62200721615199,0.0398000307526608,0.406746861008219,0.245695363879526,0.5521062014244,0.408,0.876109582548476,1.17236894951086
5,3,0.0367361066502886,2.74113148557586,0.902985701849186,2.83910156124776,0,0.0118587219154034,0.959712626862158,2.53,0.11,0.389999999999999,40.1493686294716,1.03574074289666,0.0994115127968453,1,0,0,1,2.90052751052632,0.886170110274696
5,56,0.0329921055658125,2.65523242253972,0.860902974998149,2.83498943914058,0,0.0072842748404458,0.944400078539145,2.42,0.15,0.509999999999997,16.652678496869,1.06769916451567,0.0943328930120783,0.948913162652041,0.0313370823282829,0.00144838851955909,0.956521739130435,2.83352190027701,0.860966290148398
5,159,0.0313162654854472,2.61550895745104,0.828495456542674,2.82062222159997,0,0.00243658834077409,0.922156265617092,2.33,0.21,0.600000000000001,19.6858541964575,1.07842193144268,0.0902483329553395,0.907825768025164,0.0458287129916473,0.00650886882668089,0.92094861660079,2.85401985041551,0.821595553395404
5,262,0.0297519425546577,2.56326648145917,0.821748267061564,2.74573187553651,0,-0.00134739647929127,0.911439436362742,2.26,0.23,0.6,51.628610509075,1.07118471504901,0.0870314063691488,0.875466069478329,0.0648874397498401,0.0328870537728183,0.893280632411067,2.66513119196676,0.831089706855728
5,365,0.0256015731955366,2.33725563181388,0.91163592870398,2.14440127806955,0,-0.00703541333767932,0.868470437510191,1.97,0.31,0.28,157.492332087993,0.917486837503236,0.0751733680718597,0.756183725173583,0.147339102807442,0.244690183916103,0.778656126482213,2.95257739252078,0.726497594396278
5,468,0.0235,2.05354410505993,0.8,1.24124748004976,0,-0.00564111192387973,0.510463000958199,1,1.02,0.3,121.084361602493,0.604441597816832,0.0388508325007138,0.390808181142041,0.250840714549483,0.562802720060412,0.395256916996047,1.92849372493075,0.593335807954032
6,3,0.0352319620957747,2.7209674506722,0.895389320484029,2.81358112763525,0,0.0068419900215182,0.954022813262476,2.5,0.13,0.409999999999999,27.3461896180915,1.03403703963462,0.0975738804778914,1,0,0,1,2.87733408504155,0.879364106039783
6,56,0.0328027930024176,2.63576612072678,0.854489011466266,2.81021417078053,0,0.00402002413773528,0.939560028102239,2.39,0.16,0.519999999999996,5.98601560990376,1.06618495043317,0.0928219664127587,0.95129932270953,0.0313128809844337,0.00119668021001773,0.956,2.71030913767313,0.866579289245304
6,159,0.0313806324607302,2.59861678932287,0.822141663830882,2.80408381830272,0,0.00190940651121019,0.916466886598,2.3,0.22,0.61,29.7188456142979,1.07906784479499,0.089058831397436,0.912732290252771,0.0449658673127834,0.00337552354159865,0.92,2.85811512382271,0.812536606736483
6,262,0.0298997613469221,2.54673005684345,0.815626152875552,2.73196696678563,0,-0.000635546885688787,0.905532415859187,2.23,0.24,0.61,62.1907307486852,1.07273519603871,0.0859810040953681,0.881188732827428,0.0640350893523941,0.0290072179003457,0.892,2.73583862825485,0.804823681230576
6,365,0.0254802124611492,2.35766488119219,0.908732339897258,2.234458418735,0,-0.00871592533408883,0.894984617583979,2.05,0.25,0.29,171.894065633712,0.947742164953108,0.0780033616172724,0.799428712225365,0.133519630817436,0.205831174801414,0.82,2.83298951108033,0.775673789908024
6,468,0.0235,2.11440356063876,0.8,1.4504750343149,0,-0.00663229102224916,0.576847535815983,1.17,0.91,0.35,123.989053439366,0.685997252992095,0.0451494702809446,0.462720864024412,0.222922141124323,0.484473712142792,0.468,2.20981879556787,0.600933915075604
7,3,0.036516169969712,2.74583878780893,0.904554732283719,2.81423438563451,0,0.00910692848189321,0.954268519884929,2.52,0.13,0.379999999999999,29.1614062322448,1.02490881770963,0.0987223668943229,1,0,0,1,2.89705176952909,0.883756659718037
7,56,0.0330802742832988,2.65997432141534,0.862495914390791,2.81505830273705,0,0.0063857593518033,0.939104058271434,2.41,0.17,0.499999999999997,8.58124323888714,1.05830281144939,0.0938745740174897,0.950894685476671,0.0312707602408474,-0.00029276776189735,0.956349206349206,2.70356007451524,0.877498893246471
7,159,0.0314254915959063,2.62192881952794,0.828696263012817,2.81046615415433,0,-0.000347700585846877,0.920084246420341,2.33,0.21,0.59,25.9637362474504,1.07190787683562,0.0899736282829187,0.911380380286372,0.045126454193572,0.00133898992188142,0.924603174603175,2.85097388033241,0.820889394149766
7,262,0.0300160896244168,2.56943570320291,0.819262167923589,2.74730179481289,0,0.000276789524985777,0.905694744355991,2.25,0.25,0.609999999999999,56.8062037671886,1.06922379547706,0.0868568732150807,0.879809469196139,0.064243787868838,0.0237835878785636,0.892857142857143,2.83501171301939,0.792467900630552
7,365,0.0254566142983777,2.28311633808893,0.922430415805452,2.06545513393987,0,-0.00714678412993541,0.866412446451516,1.92,0.31,0.24,154.134707542784,0.904664865071552,0.0732558696187075,0.742039235111979,0.168517704598834,0.266068546215212,0.761904761904762,2.90652347479224,0.720197932169746
7,468,0.0241524556643513,2.22262733456339,0.8,1.55369696723674,0,-0.00453268968088172,0.586549930293425,1.25,0.92,0.37,102.326817925382,0.699036200570233,0.0483795629891165,0.490056757258507,0.19054703996772,0.447914866235837,0.496031746031746,2.42530826315789,0.590421215150144
8,3,0.0359482467297441,2.7453365725358,0.903209583829828,2.82535102644705,0,0.00774563038913212,0.957511025337652,2.53,0.12,0.389999999999999,29.9081545810533,1.02914558991116,0.0988968956879311,1,0,0,1,2.92949764570637,0.877804967607702
8,56,0.0329362561796289,2.65828241603415,0.860825000702603,2.82522683378482,0,0.00425661084413487,0.943298520701679,2.42,0.15,0.509999999999997,10.8569343409447,1.06280161082347,0.0940092982597137,0.950578858980163,0.0317098301798502,4.39565424144028e-05,0.956521739130435,2.70777475096953,0.87615954862036
8,159,0.0314596385332474,2.6196080713787,0.827145331724319,2.81805521168156,0,0.00033399376984744,0.920905668821941,2.33,0.21,0.600000000000001,23.884090337329,1.07575451552125,0.0900458235919501,0.910502022996651,0.0457971173425084,0.00258226843220399,0.92094861660079,2.81921872520776,0.829054665696277
8,262,0.0301845610110363,2.57192350852311,0.814225310056006,2.76635957066676,0,-0.0027328409971088,0.908904317843062,2.26,0.24,0.62,54.0052313238971,1.0755994731178,0.0869384930337418,0.879082123144451,0.0631664130902923,0.0208793368427833,0.893280632411067,2.80395449141274,0.799163463157076
8,365,0.0254697350797678,2.30993381165586,0.917059972914915,2.08451489081589,0,-0.00401764013514261,0.856662382380626,1.92,0.33,0.26,154.917224306173,0.902413255435061,0.0735207634095383,0.74340820202823,0.158597224557338,0.26221029836522,0.758893280632411,3.08816146481994,0.686247806665554
