cellid,cycle_number,y100,Cp,x100,Cn,Qcomp,x0,y0,Qfull,pos_excess,neg_excess,RMSE_mV,np_ratio,n_li,LLI,LAM_PE,LAM_NE,C20_loss,Cn_pf,x100_pf,n_li_graphical
1,3,0.036009635929554,2.7111699345404,0.899943326066347,2.81320217947445,0,0.0112763051745042,0.958120776271558,2.5,0.1226,0.3887,39.2497167111276,1.03763402789112,0.098105019089863,1,0,0,1,2.87274809612188,0.884967697387644,0.098105019089863
1,56,0.0329133126748424,2.63184212699034,0.860773739999905,2.80605215869736,0,0.00547958854901276,0.944822114265666,2.4,0.154,0.4976,13.7843946623146,1.06619319218294,0.0933533207732546,0.951565186361608,0.029259622032327,0.00254159506531826,0.96,2.8389094066482,0.855696194344483,0.0969334420476361
1,159,0.0312734979606528,2.58968515342001,0.827875105009735,2.79585557935112,0,0.001652170942403,0.923273823540522,2.31,0.2074,0.5878,21.3888759337153,1.07961215889848,0.0893837164425731,0.911102380610096,0.0448089880212479,0.0061661405816823,0.924,2.82518782188366,0.826120566690983,0.0949410148484349
1,262,0.0298241900573294,2.53868310896411,0.820340181353082,2.72862175995713,0,-0.000587084152268491,0.912171416495533,2.24,0.2315,0.5942,53.9664417009344,1.07481778656121,0.0863429968699733,0.880107844338568,0.0636208093704481,0.0300655317752971,0.896,2.74936288421053,0.804261843557294,0.0940418108128403
1,365,0.025327301830543,2.29269458052887,0.909975384294954,2.08150268813333,0,-0.00763092526637132,0.858408173666255,1.91,0.3323,0.2666,171.374165233415,0.90788485558036,0.0728389108596059,0.742458556507555,0.154352314357038,0.260094882863278,0.764,2.79103263961219,0.740102800623999,0.0902808246390673
1,468,0.0435,2,0.847096928705644,2,0,0.342096928705644,0.5485,1.01,0.9096,0.3826,281.633039629141,1,0.0664590131800864,0.677427248846573,0.262311087726397,0.289066383286525,0.404,0.883054142382272,1.15743969731004,0.0687409702926469
2,3,0.03549084695041,2.74201737717927,0.897522610662838,2.84349407285373,0,0.011289006711301,0.954522221796159,2.52,0.1339,0.399800000000001,35.4396026792542,1.03700804251607,0.0988537106686736,1,0,0,1,2.90616854764543,0.880179557726858,0.0988537106686736
2,56,0.0329328393093648,2.6579552259917,0.855806842168629,2.83988565079216,0,0.00365985543169323,0.94340716797195,2.42,0.1593,0.5177,10.0985101333068,1.06844751296839,0.0939476530008254,0.950370525955351,0.0306570453882566,0.00126900987627365,0.96031746031746,2.74159455900277,0.866270888528181,0.097906001851076
2,159,0.031537559766849,2.61780526796903,0.823334659015299,2.82939507501953,0,-0.000162921994632415,0.92159612466831,2.33,0.214,0.6077,24.7875513628527,1.08082717597045,0.0899990007759377,0.910426125303338,0.0452995339285623,0.00495833558043968,0.924603174603175,2.85443517396122,0.820045751325512,0.0958650698698718
2,262,0.0300348257015633,2.56111074362008,0.817007386925995,2.75528692753266,0,0.000395520656640502,0.908559897530231,2.25,0.2428,0.6092,57.6855944300386,1.0758171759641,0.0868616286019032,0.878688599692893,0.0659757429200877,0.0310206890048305,0.892857142857143,2.80527332132964,0.790971612348923,0.0947905023916509
2,365,0.0244331341434562,2.30497558713538,0.887221816891376,2.02143412089424,0,-0.00818208536356935,0.809690908716879,1.81,0.4464,0.3049,173.344003288888,0.876987215038783,0.0690179989870133,0.698183189281987,0.159386951257572,0.289102045194162,0.718253968253968,1.68893082188366,1.08496084705192,0.0871939073025617
2,468,0.0435,2,0.888383022686809,2,0,0.358383022686809,0.5735,1.06,0.8596,0.300400000000001,277.108797274601,1,0.0695399053049181,0.703462771751623,0.270610019963691,0.296639996863859,0.420634920634921,1.18602523213296,0.926436560181015,0.071776848899754
3,3,0.0367328194571524,2.73296101168991,0.906253573965961,2.80223258563626,0,0.010539202194749,0.955150604878819,2.51,0.1317,0.3695,30.1615511757026,1.02534671136912,0.0984994721798547,1,0,0,1,2.8823398365651,0.886221461817973,0.0984994721798547
3,56,0.032917848296469,2.64909230256112,0.861786436649886,2.80045620560082,0,0.00478321153246364,0.938888545383808,2.4,0.1708,0.4938,7.51579494896757,1.05713802531281,0.0933010450810823,0.947223807562335,0.0306878542247945,0.000633915987040434,0.956175298804781,2.78225190581717,0.864256125630784,0.0970405975826868
3,159,0.0311469676250475,2.60587758946603,0.829275747999418,2.77974065697791,0,0.00186042987383184,0.913767091186297,2.3,0.2334,0.5805,31.6883736625663,1.06671958353481,0.0890377997710033,0.903941897357837,0.0465002690050426,0.008026431772167,0.916334661354582,2.79052511385042,0.826254287532743,0.0947049057723872
3,262,0.0297090359832585,2.55762983971746,0.820184997566691,2.70657980145621,0,-3.83702444424205e-05,0.897700160236503,2.22,0.2702,0.5899,60.5735952354329,1.05823749763383,0.0856627570432831,0.869677320573532,0.0641542895132754,0.03413449143028,0.884462151394422,2.6569912432133,0.819842230093359,0.0933318473279939
3,365,0.0264365376912209,2.40940058660931,0.89613497867936,2.31497974565963,0,-0.00668069559103335,0.893872202651029,2.09,0.2638,0.3287,135.851185878651,0.960811480882653,0.0797805868682961,0.809959536865549,0.118391892052833,0.17388022767068,0.832669322709163,3.14711234404432,0.720362365954925,0.0935706401009319
3,468,0.0235,2.29711072664869,0.902493764238292,2.09083241138074,0,-0.00623521358795254,0.850625997000568,1.9,0.3508,0.2836,195.712567035673,0.910200969907576,0.0724195795770619,0.735228097921456,0.159479144845797,0.253869067793312,0.756972111553785,2.41062372880886,0.837432671590701,0.0903245508438063
